Request_ID,Request_Start,Request_End,Total_Processing,Total_Waiting,SLA_Hours,Request_Type,Priority,Department_Requesting,Vendor_Type,Request_Amount,Complexity_Score,System_Load,Num_Stages,Total_TAT,Delay_Ratio,SLA_Breach_Hours,Delayed_Flag,Is_High_Value_Request,Is_High_Complexity,Bottleneck_Stage,Max_Stage_Delay
R00037,2025-03-09 12:34:12,2025-03-15 09:00:00,108.91,14.73,258.0,Vendor Contract,Medium,Operations,External,191792,5,0.5800862078378112,4,140.43,0.5443023255813954,0.0,0,1,1,Procurement Review,48.92
R00038,2025-03-22 10:43:12,2025-03-26 09:00:00,73.26,9.03,217.8,Equipment,Low,HR,Internal,87988,3,0.061517026239235,4,94.28,0.43287419651056014,0.0,0,0,0,Procurement Review,28.63
R00039,2025-01-31 11:53:24,2025-02-06 09:00:00,87.37,16.97,156.0,IT Purchase,Medium,IT,Internal,50138,2,0.8258167505647627,4,141.11,0.9045512820512821,0.0,0,0,0,Finance Approval,34.22
R00040,2025-01-22 12:40:48,2025-01-30 09:00:00,130.36,19.32,145.2,Office Supplies,Low,IT,Internal,158732,2,0.9372284872364512,4,188.32,1.296969696969697,43.120000000000005,1,1,0,Procurement Review,58.46
R00041,2025-05-21 13:55:12,2025-05-25 09:00:00,66.78,12.3,125.4,Office Supplies,Low,IT,External,90186,1,0.854209774461566,4,91.08,0.7263157894736841,0.0,0,0,0,Finance Approval,23.58
R00042,2025-01-25 11:49:48,2025-01-30 09:00:00,64.41,11.68,140.4,IT Purchase,High,HR,External,85976,2,0.7149240402022476,4,117.17,0.8345441595441595,0.0,0,0,0,Finance Approval,35.56
R00043,2025-07-07 12:26:24,2025-07-13 09:00:00,98.67,15.93,217.8,Equipment,Low,Admin,Internal,75744,3,0.064208937075134,4,140.56,0.6453627180899908,0.0,0,0,0,Finance Approval,49.99
R00044,2025-03-21 11:01:48,2025-04-11 09:00:00,331.71,56.14,237.6,Equipment,Low,Finance,External,246198,4,0.4823563815515915,13,501.97,2.1126683501683505,264.37,1,1,1,Finance Approval,76.17
R00045,2025-02-28 12:04:12,2025-03-06 09:00:00,110.2,12.67,198.0,Equipment,Medium,Finance,External,3920,3,0.6503256863469369,4,140.93,0.7117676767676768,0.0,0,0,0,Finance Approval,51.97
R00046,2025-05-05 10:25:12,2025-05-08 17:01:48,50.96,9.21,178.2,Equipment,High,IT,Internal,43229,3,0.2106621890056665,4,78.61,0.4411335578002245,0.0,0,0,0,Finance Approval,25.38
R00047,2025-01-28 10:18:00,2025-02-01 09:00:00,71.19,8.79,156.0,IT Purchase,Medium,Operations,Internal,62272,2,0.2581334327011275,4,94.7,0.6070512820512821,0.0,0,0,0,Finance Approval,31.29
R00048,2025-02-18 13:54:36,2025-02-23 09:00:00,69.53,12.28,125.4,Office Supplies,Low,HR,External,93324,1,0.8441704489691971,4,115.09,0.9177830940988836,0.0,0,0,0,Finance Approval,33.28
R00049,2025-07-03 11:44:24,2025-07-08 09:00:00,88.44000000000001,11.63,132.0,Office Supplies,Medium,HR,External,147470,2,0.5155960285792502,4,117.26,0.8883333333333334,0.0,0,0,0,Finance Approval,48.3
R00050,2025-02-16 14:40:48,2025-02-22 09:00:00,101.96,16.1,217.8,Equipment,Low,IT,External,37487,3,0.5706097466388297,4,138.32,0.6350780532598713,0.0,0,0,0,Finance Approval,49.14
R00051,2025-05-12 12:30:36,2025-05-17 17:39:36,97.98,10.98,171.6,IT Purchase,Low,Admin,Internal,30165,2,0.6675933855635847,4,125.15,0.7293123543123544,0.0,0,0,0,Finance Approval,47.74
R00052,2025-07-13 14:34:12,2025-07-26 11:24:36,218.45,42.38,191.4,IT Purchase,Low,HR,External,192305,3,0.4634940438005723,9,308.84,1.6135841170323928,117.43999999999997,1,1,0,Finance Approval,55.81
R00053,2025-06-26 11:40:48,2025-07-01 09:00:00,65.63,14.4,114.0,Office Supplies,Medium,IT,Internal,13289,1,0.9767252386625788,4,117.32,1.0291228070175438,3.319999999999993,1,0,0,Finance Approval,43.52
R00054,2025-05-01 10:59:24,2025-05-07 09:00:00,92.09,13.42,217.8,Equipment,Low,Finance,External,77153,3,0.8398613028667203,4,142.01,0.6520202020202019,0.0,0,0,0,Finance Approval,55.14
R00055,2025-05-18 10:25:48,2025-05-23 17:34:48,86.16,12.15,198.0,Equipment,Medium,Finance,External,92658,3,0.2568838476457148,4,127.15,0.6421717171717172,0.0,0,0,0,Finance Approval,40.13
R00056,2025-02-18 10:48:36,2025-02-26 09:00:00,140.76000000000002,19.37,145.2,Office Supplies,Low,Operations,Internal,117492,2,0.831863113251422,7,190.19,1.309848484848485,44.99000000000001,1,0,0,Procurement Review,41.830000000000005
R00057,2025-03-06 10:35:24,2025-03-10 09:00:00,41.18,13.51,156.6,IT Purchase,High,Operations,Internal,173395,3,0.8420332943764213,4,94.41,0.6028735632183908,0.0,0,1,0,Finance Approval,18.84
R00058,2025-05-23 10:29:24,2025-06-03 09:00:00,154.95,30.31,140.4,IT Purchase,High,Finance,Internal,66450,2,0.9921580148233128,11,262.51,1.8697293447293446,122.10999999999999,1,0,0,Finance Approval,35.46
R00059,2025-01-11 14:52:12,2025-01-22 09:00:00,179.25,32.86,191.4,IT Purchase,Low,IT,Internal,187749,3,0.754253544343863,7,258.13,1.3486415882967606,66.72999999999999,1,1,0,Finance Approval,52.58
R00060,2025-05-13 10:17:24,2025-05-17 15:05:24,54.0,13.37,132.0,Office Supplies,Medium,IT,Internal,137614,2,0.2152018720172375,6,100.8,0.7636363636363637,0.0,0,0,0,Procurement Review,21.88
R00061,2025-04-07 12:10:48,2025-04-12 11:27:36,88.71000000000001,11.53,156.6,IT Purchase,High,IT,External,138244,3,0.8408715794259226,4,119.28,0.7616858237547893,0.0,0,0,0,Finance Approval,34.02
R00062,2025-04-20 14:45:00,2025-05-09 09:00:00,335.28,47.96,258.0,Vendor Contract,Medium,HR,External,142214,5,0.991588408870274,13,450.25,1.74515503875969,192.25,1,0,1,Finance Approval,60.56
R00063,2025-03-27 10:25:48,2025-04-04 09:00:00,98.21,25.76,118.8,Office Supplies,High,Operations,External,146643,2,0.7531873359134028,7,190.57,1.604124579124579,71.77,1,0,0,Finance Approval,32.81
R00064,2025-06-04 10:55:48,2025-06-14 09:00:00,157.09,25.26,191.4,IT Purchase,Low,Finance,Internal,236821,3,0.6878841098799151,7,238.07,1.2438349007314524,46.66999999999999,1,1,0,Procurement Review,45.54
R00065,2025-03-21 11:20:24,2025-03-24 15:44:24,47.52,8.48,102.6,Office Supplies,High,Operations,Internal,70122,1,0.2254387554636938,4,76.4,0.7446393762183237,0.0,0,0,0,Finance Approval,23.46
R00066,2025-02-16 13:48:00,2025-03-01 13:48:36,229.6,36.4,283.8,Vendor Contract,Low,HR,External,157123,5,0.9983475113929496,7,312.01,1.099400986610289,28.20999999999998,1,1,1,Finance Approval,77.88
R00067,2025-05-06 11:50:24,2025-05-13 09:00:00,112.98,13.14,132.0,Office Supplies,Medium,Admin,External,151787,2,0.7279393069737652,4,165.16,1.2512121212121212,33.16,1,1,0,Finance Approval,59.33
R00068,2025-03-25 13:35:24,2025-03-30 09:00:00,84.30000000000001,13.38,156.6,IT Purchase,High,Admin,External,227922,3,0.6196994401994157,4,115.41,0.7369731800766284,0.0,0,1,0,Finance Approval,42.22
R00069,2025-05-08 10:51:00,2025-05-13 09:00:00,81.42,16.19,171.6,IT Purchase,Low,Operations,Internal,63292,2,0.9673561777882752,4,118.15,0.6885198135198136,0.0,0,0,0,Finance Approval,53.86
R00070,2025-03-07 13:09:36,2025-03-11 09:00:00,54.080000000000005,12.14,156.6,IT Purchase,High,Admin,Internal,112672,3,0.0975625102392997,4,91.84,0.5864623243933589,0.0,0,0,0,Procurement Review,25.31
R00071,2025-02-27 10:42:00,2025-03-17 09:00:00,269.7,55.41,240.0,Vendor Contract,Medium,Admin,Internal,7823,4,0.7507295069993472,14,430.3,1.7929166666666667,190.3,1,0,1,Finance Approval,53.98
R00072,2025-07-08 10:42:36,2025-07-17 09:00:00,146.64999999999998,26.2,232.2,Vendor Contract,High,Finance,External,220780,5,0.3368405018611032,7,214.29,0.9228682170542636,0.0,0,1,1,Finance Approval,44.15
R00073,2025-06-17 13:04:48,2025-06-22 09:00:00,65.21,17.34,156.6,IT Purchase,High,Finance,External,133161,3,0.0038171341243471,4,115.92,0.7402298850574713,0.0,0,0,0,Procurement Review,30.39
R00074,2025-05-31 12:12:00,2025-06-07 09:00:00,123.51,15.62,171.6,IT Purchase,Low,Operations,Internal,73954,2,0.1690810703559925,4,164.8,0.9603729603729605,0.0,0,0,0,Finance Approval,61.9
R00075,2025-04-29 15:08:24,2025-05-10 09:00:00,187.72,27.54,264.0,Vendor Contract,Low,Finance,External,14947,4,0.532675886761555,8,257.86,0.9767424242424243,0.0,0,0,1,Finance Approval,52.150000000000006
R00076,2025-03-06 13:40:12,2025-03-10 17:27:36,85.56,9.74,171.6,IT Purchase,Low,IT,Internal,60871,2,0.0251419582772727,4,99.79,0.5815268065268066,0.0,0,0,0,Finance Approval,44.73
R00077,2025-01-01 11:36:36,2025-01-06 09:00:00,79.16,12.73,156.0,IT Purchase,Medium,Admin,Internal,63824,2,0.268958945826471,4,117.39,0.7525000000000001,0.0,0,0,0,Finance Approval,30.1
R00078,2025-03-31 11:01:12,2025-04-06 09:00:00,97.4,12.63,237.6,Equipment,Low,IT,External,245576,4,0.4628519550158506,4,141.98,0.5975589225589225,0.0,0,1,1,Procurement Review,48.92
R00079,2025-07-19 11:16:12,2025-07-26 09:00:00,130.55,11.92,283.8,Vendor Contract,Low,Operations,Internal,243247,5,0.6709430047425079,4,165.73,0.583967582804792,0.0,0,1,1,Finance Approval,76.46000000000001
R00080,2025-04-15 13:12:00,2025-04-19 14:48:36,57.89,10.15,118.8,Office Supplies,High,IT,External,168708,2,0.646450090124607,4,97.61,0.8216329966329966,0.0,0,1,0,Procurement Review,31.65
R00081,2025-06-02 10:42:00,2025-06-06 09:00:00,66.52000000000001,10.61,194.4,Equipment,High,HR,Internal,206950,4,0.729173487549448,4,94.3,0.48508230452674894,0.0,0,1,1,Procurement Review,26.03
R00082,2025-01-07 10:35:24,2025-01-13 09:00:00,83.94,12.35,145.2,Office Supplies,Low,Finance,Internal,208780,2,0.1425941440819087,4,142.41,0.9807851239669422,0.0,0,1,0,Finance Approval,39.38
R00083,2025-04-17 11:24:36,2025-04-21 09:00:00,54.21,9.05,102.6,Office Supplies,High,Operations,External,8597,1,0.3879867599468695,4,93.59,0.9121832358674464,0.0,0,0,0,Procurement Review,27.58
R00084,2025-04-19 12:52:12,2025-04-23 17:59:24,64.9,12.26,114.0,Office Supplies,Medium,HR,Internal,77449,1,0.76190181260487,4,101.12,0.8870175438596491,0.0,0,0,0,Finance Approval,38.43
R00085,2025-03-23 10:54:36,2025-03-31 09:00:00,140.45,18.81,217.8,Equipment,Low,Finance,Internal,21219,3,0.6234059581594401,6,190.09,0.87277318640955,0.0,0,0,0,Finance Approval,65.39999999999999
R00086,2025-07-02 12:10:48,2025-07-07 15:09:36,86.24000000000001,13.52,216.0,Equipment,Medium,Operations,Internal,204774,4,0.3753299079196018,4,122.98,0.5693518518518519,0.0,0,1,1,Finance Approval,50.18
R00087,2025-03-08 10:41:24,2025-03-14 09:00:00,100.19,16.47,145.2,Office Supplies,Low,HR,External,181005,2,0.4483190553694222,4,142.31,0.9800964187327824,0.0,0,1,0,Finance Approval,61.43
R00088,2025-03-08 10:50:24,2025-03-21 09:00:00,179.43,45.98,258.0,Vendor Contract,Medium,IT,External,142958,5,0.73786951856153,12,310.16,1.202170542635659,52.160000000000025,1,0,1,Finance Approval,54.09
R00089,2025-03-22 12:23:24,2025-03-28 09:00:00,82.67,16.090000000000003,194.4,Equipment,High,Admin,External,162822,4,0.7197914533546861,4,140.61,0.7233024691358025,0.0,0,1,1,Finance Approval,43.53
R00090,2025-02-18 13:57:00,2025-02-24 09:00:00,85.12,22.97,171.6,IT Purchase,Low,Operations,Internal,8016,2,0.3175867952611166,6,139.05,0.8103146853146854,0.0,0,0,0,Finance Approval,45.52
R00091,2025-01-17 11:06:00,2025-01-29 09:00:00,210.75,21.86,264.0,Vendor Contract,Low,IT,External,99826,4,0.6761082314144111,7,285.9,1.0829545454545453,21.899999999999977,1,0,1,Finance Approval,61.07
R00092,2025-01-18 12:40:12,2025-01-24 09:00:00,102.45,19.73,258.0,Vendor Contract,Medium,Admin,Internal,228107,5,0.7370965504320512,4,140.33,0.5439147286821706,0.0,0,1,1,Finance Approval,46.48
R00093,2025-04-26 13:27:00,2025-05-04 15:46:48,98.94,38.4,194.4,Equipment,High,HR,External,168093,4,0.0099238211278356,9,194.33,0.9996399176954733,0.0,0,1,1,Finance Approval,31.31
R00094,2025-06-21 12:44:24,2025-06-28 09:00:00,123.96,20.11,237.6,Equipment,Low,Admin,Internal,236990,4,0.0578444494471606,4,164.26,0.6913299663299664,0.0,0,1,1,Finance Approval,65.46
R00095,2025-07-01 14:15:00,2025-07-14 09:00:00,250.06,28.07,258.0,Vendor Contract,Medium,IT,External,165055,5,0.4699882681579366,8,306.75,1.188953488372093,48.75,1,1,1,Finance Approval,65.72
R00096,2025-04-12 12:19:48,2025-04-17 09:00:00,78.85,13.73,216.0,Vendor Contract,High,IT,External,97566,4,0.6223432646172461,4,116.67,0.540138888888889,0.0,0,0,1,Procurement Review,32.9
R00097,2025-03-15 12:25:12,2025-03-21 15:38:24,97.33,25.39,216.0,Vendor Contract,High,Finance,External,85388,4,0.7844208580034177,7,147.22,0.6815740740740741,0.0,0,0,1,Procurement Review,33.74
R00098,2025-05-28 12:16:12,2025-06-02 09:00:00,69.60000000000001,17.15,232.2,Vendor Contract,High,HR,Internal,113492,5,0.1018036829495369,4,116.73,0.5027131782945737,0.0,0,0,1,Finance Approval,46.08
R00099,2025-01-23 13:51:36,2025-02-05 09:00:00,164.64,59.400000000000006,194.4,Equipment,High,Finance,Internal,134251,4,0.4763357333010988,13,307.14,1.5799382716049382,112.73999999999998,1,0,1,Finance Approval,35.2
R00100,2025-05-29 13:34:12,2025-06-03 09:00:00,75.88,15.62,194.4,Equipment,High,IT,External,222493,4,0.1496014495269525,4,115.43,0.5937757201646091,0.0,0,1,1,Finance Approval,31.72
R00101,2025-06-16 11:10:48,2025-06-22 09:00:00,110.06,19.1,283.8,Vendor Contract,Low,Finance,External,139335,5,0.4617161438131191,4,141.82,0.4997181113460183,0.0,0,0,1,Procurement Review,46.4
R00102,2025-04-23 13:06:00,2025-04-29 09:00:00,100.1,13.33,198.0,Equipment,Medium,Finance,Internal,72569,3,0.0251934139592293,4,139.9,0.7065656565656566,0.0,0,0,0,Finance Approval,44.13
R00103,2025-04-05 13:43:12,2025-04-22 09:00:00,256.27,49.71,194.4,Equipment,High,HR,Internal,201339,4,0.3097878592090992,14,403.28,2.074485596707819,208.87999999999997,1,1,1,Finance Approval,47.78
R00104,2025-01-24 13:31:48,2025-01-29 17:21:00,99.42,14.71,283.8,Vendor Contract,Low,HR,External,203363,5,0.6567560634745571,4,123.82,0.4362931642001409,0.0,0,1,1,Finance Approval,53.67
R00105,2025-06-06 13:21:00,2025-06-19 09:00:00,196.24,33.72,125.4,Office Supplies,Low,HR,Internal,19689,1,0.1740816753114292,10,307.65,2.4533492822966503,182.24999999999997,1,0,0,Procurement Review,51.14
R00106,2025-03-04 11:54:36,2025-03-08 09:00:00,65.02,13.83,178.2,Equipment,High,IT,External,55318,3,0.3559710324883943,4,93.09,0.5223905723905724,0.0,0,0,0,Finance Approval,28.81
R00107,2025-03-14 13:37:12,2025-03-19 09:00:00,72.7,12.71,194.4,Equipment,High,Admin,Internal,165530,4,0.2062174050841398,4,115.38,0.5935185185185184,0.0,0,1,1,Finance Approval,45.05
R00108,2025-04-17 13:52:48,2025-04-22 09:00:00,86.54,16.669999999999998,216.0,Equipment,Medium,Finance,Internal,102948,4,0.4910957293831651,4,115.12,0.532962962962963,0.0,0,0,1,Procurement Review,45.48
R00109,2025-02-24 11:57:00,2025-02-28 09:00:00,49.92,10.71,118.8,Office Supplies,High,IT,Internal,134663,2,0.952815017002506,4,93.05,0.7832491582491582,0.0,0,0,0,Finance Approval,21.05
R00110,2025-02-15 14:29:24,2025-02-27 09:00:00,213.44,31.46,217.8,Equipment,Low,HR,External,24199,3,0.3848036172211032,7,282.51,1.2971074380165288,64.70999999999998,1,0,0,Finance Approval,76.91
R00111,2025-06-27 10:39:00,2025-07-02 09:00:00,77.41,13.61,145.2,Office Supplies,Low,Finance,Internal,232324,2,0.3275521651801324,4,118.35,0.8150826446280992,0.0,0,1,0,Finance Approval,29.38
R00112,2025-05-24 10:28:48,2025-05-30 12:28:12,125.1,12.98,194.4,Equipment,High,Admin,External,162147,4,0.0099787766584493,4,145.99,0.7509773662551441,0.0,0,1,1,Procurement Review,50.29
R00113,2025-02-05 10:43:48,2025-02-11 09:00:00,102.87,14.27,194.4,Equipment,High,Admin,External,170831,4,0.8479278837633485,4,142.27,0.7318415637860083,0.0,0,1,1,Finance Approval,48.11
R00114,2025-05-04 14:39:36,2025-05-09 17:51:36,98.06,19.34,237.6,Equipment,Low,Finance,External,132742,4,0.0953716022730586,4,123.2,0.5185185185185185,0.0,0,0,1,Finance Approval,45.51
R00115,2025-03-17 11:11:24,2025-03-23 09:00:00,104.36,11.5,283.8,Vendor Contract,Low,Operations,External,188305,5,0.4739212201161027,4,141.81,0.4996828752642706,0.0,0,1,1,Procurement Review,58.55
R00116,2025-03-02 10:11:24,2025-03-07 09:00:00,71.5,7.75,114.0,Office Supplies,Medium,Finance,Internal,94405,1,0.3245118001753421,4,118.81,1.0421929824561404,4.810000000000002,1,0,0,Finance Approval,38.18
R00117,2025-03-01 13:01:48,2025-03-08 09:00:00,129.03,21.67,283.8,Vendor Contract,Low,Operations,External,109036,5,0.0389793206611304,4,163.97,0.5777660324171952,0.0,0,0,1,Finance Approval,53.1
R00118,2025-01-13 13:33:36,2025-01-18 09:00:00,63.84,14.06,216.0,Vendor Contract,High,IT,Internal,61815,4,0.1300806698289469,4,115.44,0.5344444444444444,0.0,0,0,1,Finance Approval,38.86
R00119,2025-01-20 14:10:48,2025-01-26 09:00:00,104.74,20.28,145.2,Office Supplies,Low,Finance,Internal,189056,2,0.5694844841722538,4,138.82,0.956060606060606,0.0,0,1,0,Finance Approval,52.01
R00120,2025-03-30 12:30:00,2025-04-05 09:00:00,100.18,14.88,145.2,Office Supplies,Low,Finance,External,132642,2,0.6486389567688156,4,140.5,0.9676308539944904,0.0,0,0,0,Finance Approval,48.400000000000006
R00121,2025-07-01 14:21:36,2025-07-07 09:00:00,90.03,19.21,232.2,Vendor Contract,High,Finance,External,185099,5,0.5831908042770976,4,138.64,0.5970714900947459,0.0,0,1,1,Finance Approval,43.0
R00122,2025-05-04 13:42:36,2025-05-17 09:00:00,211.94,42.94,171.6,IT Purchase,Low,Finance,External,56571,2,0.0670165377512099,12,307.29,1.790734265734266,135.69000000000003,1,0,0,Finance Approval,55.09
R00123,2025-04-25 10:37:48,2025-04-30 09:00:00,89.63,10.19,156.6,IT Purchase,High,Finance,External,247289,3,0.9917728809792494,4,118.37,0.755874840357599,0.0,0,1,0,Finance Approval,40.08
R00124,2025-03-03 10:36:36,2025-03-08 09:00:00,92.81,13.65,174.0,IT Purchase,Medium,Operations,External,244935,3,0.9032980143757106,4,118.39,0.6804022988505747,0.0,0,1,0,Finance Approval,55.92
